time,31S,32S,33S,34S,34X,35S,36S,CRP,DAP,DEF,DXD,DXT,MDM,MTU,MVP,NAP,NDE,NXA,ODG,TCG
2023-04-01,-0.675,-0.175,0.30000000000000004,-0.325,-0.32499999999999996,-0.725,2.9250000000000003,0.525,9.4,12.174999999999999,0.35,-0.2,0.9500000000000001,1.225,0.04999999999999999,2.9,1.3750000000000002,0.35,-0.1,2.9
2023-05-01,0.6,-0.025,0.375,0.1,-1.65,0.275,0.95,-2.15,-8.275,-6.275,1.05,0.25,0.55,0.32499999999999996,0.7,8.6,1.775,0.05,-0.04999999999999993,0.35
2023-06-01,0.24999999999999997,0.475,-0.325,0.6,0.7249999999999999,0.5499999999999999,2.2,2.25,3.0500000000000003,-2.0749999999999997,1.175,0.15000000000000002,1.0250000000000001,1.4,-0.05,9.224999999999998,2.675,0.05,-0.44999999999999996,1.9500000000000002
2023-07-01,-0.35000000000000003,0.25,0.07499999999999998,-0.225,0.65,0.04999999999999999,-1.7,-3.35,-3.7249999999999996,-1.575,-0.4999999999999999,-0.05,-0.625,-1.05,0.625,-6.3500000000000005,-2.15,-0.375,-0.675,-2.1500000000000004
2023-08-01,-0.5,0.375,0.45000000000000007,0.17500000000000002,-0.75,0.25,0.2,2.475,3.475,2.6,0.125,0.175,0.2,0.225,0.05,-1.7000000000000002,0.04999999999999996,0.45,-0.15,0.32499999999999996
2023-09-01,0.225,0.275,-0.024999999999999994,0.47500000000000003,2.65,0.2,1.175,-0.35,-4.325,-3.3750000000000004,0.9249999999999999,0.125,0.65,0.9500000000000001,-0.425,9.174999999999999,2.525,0.125,-0.225,1.7000000000000002
2023-10-01,-0.35,0.3,-0.7000000000000001,0.0,-1.275,-0.725,-3.3,-8.326672684688674e-17,2.875,8.9,-1.6749999999999998,-0.175,-1.225,-0.9,-2.6750000000000003,-9.100000000000001,-2.6750000000000003,-0.42500000000000004,0.125,-1.4
2023-11-01,0.05000000000000001,0.025000000000000022,-0.3,0.175,0.45,0.1,7.2749999999999995,0.825,0.625,-2.075,3.0,0.025,2.625,3.0500000000000003,1.575,31.825,7.025,6.938893903907228e-18,0.425,5.575
2023-12-01,0.625,0.175,-0.025000000000000036,0.30000000000000004,3.4000000000000004,0.4,-2.9,-4.163336342344337e-17,-3.05,-5.75,-0.6499999999999999,0.125,-0.9500000000000001,-1.4,0.05000000000000002,-9.025,-2.4,0.275,0.024999999999999967,-2.875
2024-01-01,-0.775,-0.55,0.0,-0.025,-3.95,1.1500000000000001,-2.625,2.6,-0.29999999999999993,6.25,-1.3250000000000002,-0.225,-1.025,-1.4749999999999999,0.175,-16.224999999999998,-3.6999999999999997,0.025000000000000022,-0.5,-2.675
2024-02-01,0.2,0.25,0.075,-0.27499999999999997,-0.575,-1.1,1.825,2.825,3.8000000000000003,-1.2999999999999998,0.825,0.07500000000000001,0.675,0.475,0.75,9.3,1.475,-0.15000000000000002,0.425,1.05
2024-03-01,0.15,-0.2,-0.125,0.025,0.275,-0.825,0.875,-1.925,-4.449999999999999,-2.075,0.45,-0.07500000000000001,0.3,0.0,1.0,0.42500000000000016,0.175,-0.15,0.30000000000000004,-0.12499999999999997
2024-04-01,0.6,0.025,0.07500000000000001,0.04999999999999999,0.6,0.45,0.925,0.975,2.65,4.325,0.22500000000000003,0.1,0.375,0.375,0.675,-0.0249999999999998,-0.049999999999999975,0.075,-0.05,0.47500000000000003
2024-05-01,-0.024999999999999994,-0.07500000000000001,-0.375,0.1,-0.25000000000000006,-0.05,0.15,-0.37500000000000006,3.3,0.5,0.0,-0.1,0.025,1.3877787807814457e-17,-0.2,-0.55,-0.22499999999999998,-0.425,0.0,-0.09999999999999999
2024-06-01,-0.15,-0.025,0.25,-0.02500000000000001,1.05,-1.3877787807814457e-17,-4.700000000000001,-1.2750000000000001,-2.5,1.4749999999999999,-1.975,0.0,-1.8,-2.125,-0.4,-22.35,-4.800000000000001,0.15,-0.2,-3.925
2024-07-01,-0.25,0.19999999999999998,-0.2,-0.025,-0.6,-0.1,9.6,1.6,4.95,1.7249999999999999,2.8500000000000005,-0.05,2.825,4.575,-1.7,-158.37499999999997,11.825,-0.125,-0.05000000000000001,9.975
2024-08-01,0.125,0.275,0.25,0.175,-0.45,0.65,-0.525,0.15000000000000002,2.1500000000000004,1.25,-0.07500000000000001,0.25,0.0,-0.25,-0.125,-4.05,-0.6000000000000001,0.125,-0.1,-0.35000000000000003
